Order,openTime,Type,Size,Symbol,openPrice,S/L,T/P,closeTime,closePrice,Commission,Taxes,Swap,Profit
233081055,2020.02.10 15:41:36,balance,ADJUSTMENT,,,,,,,,,,5 000.00
233087020,2020.02.10 16:57:46,buy,0.01,eurusd-2,1.09294,1.08364,1.10294,2020.02.13 15:46:54,1.08566,0,0,0,-7.28
233101930,2020.02.10 22:20:32,buy,0.01,eurusd-2,1.09136,1.0832,1.10336,2020.02.13 15:46:54,1.08566,0,0,0,-5.7
233130136,2020.02.11 00:00:58,balance,Financing,,,,,,,,,,-0.2
233247324,2020.02.12 00:01:04,balance,Financing,,,,,,,,,,-0.2
233257594,2020.02.12 03:05:45,buy,0.75,usdjpy-2,109.875,109.783,110.077,2020.02.12 10:34:57,110.077,0,0,0,137.61
233312501,2020.02.12 21:52:27,buy,1,eurusd-2,1.08679,1.08479,1.09079,2020.02.13 15:46:54,1.08566,0,0,0,-113
233346828,2020.02.13 00:00:49,balance,Financing,,,,,,,,,,-39.38
233404461,2020.02.13 15:31:04,buy,0.7,eurjpy-2,119.216,118.966,119.716,2020.02.13 15:47:00,119.128,0,0,0,-56.14
233408242,2020.02.13 16:28:10,sell,1.1,usdjpy-2,109.787,109.875,109.648,2020.02.14 02:58:29,109.875,0,0,0,-88.11
233493617,2020.02.14 23:31:00,buy,0.8,eurusd-2,1.08353,1.08101,1.08851,2020.02.18 15:19:51,1.08099,0,0,0,-203.2
233522535,2020.02.15 00:01:20,balance,Financing,,,,,,,,,,-7.74
233598265,2020.02.18 00:00:52,balance,Financing,,,,,,,,,,-7.65
233649573,2020.02.18 17:42:26,buy,1,eurusd-2,1.08184,1.08,1.085,2020.02.18 20:57:33,1.07999,0,0,0,-185
233695207,2020.02.19 01:20:38,buy,1,eurusd-2,1.0796,1.0771,1.0846,2020.02.20 16:32:17,1.08157,0,0,0,197
233775841,2020.02.20 00:01:05,balance,Financing,,,,,,,,,,-29.29
233918888,2020.02.21 20:56:49,buy,1,audusd-2,0.66316,0.66066,0.66816,2020.02.24 00:00:01,0.6581,0,0,0,-506
233948146,2020.02.22 00:00:50,balance,Financing,,,,,,,,,,-3.52
